email,firstName,lastName
oliver.chen.kishan@gmail.com,Oliver,Chen
sophia.wong.kishan@gmail.com,Sophia,Wong
liam.park.kishan@gmail.com,Liam,Park
emma.lee.kishan@gmail.com,Emma,Lee
noah.kim.kishan@gmail.com,Noah,Kim
ava.liu.kishan@gmail.com,Ava,Liu
ethan.zhang.kishan@gmail.com,Ethan,Zhang
mia.wang.kishan@gmail.com,Mia,Wang
mason.yang.kishan@gmail.com,Mason,Yang
isabella.huang.kishan@gmail.com,Isabella,Huang
lucas.xu.kishan@gmail.com,Lucas,Xu
charlotte.lin.kishan@gmail.com,Charlotte,Lin
logan.zhao.kishan@gmail.com,Logan,Zhao
amelia.wu.kishan@gmail.com,Amelia,Wu
jackson.zhou.kishan@gmail.com,Jackson,Zhou
harper.gao.kishan@gmail.com,Harper,Gao
aiden.ma.kishan@gmail.com,Aiden,Ma
evelyn.sun.kishan@gmail.com,Evelyn,Sun
sebastian.tan.kishan@gmail.com,Sebastian,Tan
abigail.lim.kishan@gmail.com,Abigail,Lim
