email,firstName,lastName
john.doe.munna@gmail.com,John,Doe
jane.smith.munna@gmail.com,Jane,Smith
robert.johnson.munna@gmail.com,Robert,Johnson
emily.williams.munna@gmail.com,Emily,Williams
michael.brown.munna@gmail.com,Michael,Brown
sarah.davis.munna@gmail.com,Sarah,Davis
david.miller.munna@gmail.com,David,Miller
jessica.wilson.munna@gmail.com,Jessica,Wilson
james.moore.munna@gmail.com,James,Moore
jennifer.taylor.munna@gmail.com,Jennifer,Taylor
william.anderson.munna@gmail.com,William,Anderson
linda.thomas.munna@gmail.com,Linda,Thomas
richard.jackson.munna@gmail.com,Richard,Jackson
patricia.white.munna@gmail.com,Patricia,White
charles.harris.munna@gmail.com,Charles,Harris
barbara.martin.munna@gmail.com,Barbara,Martin
thomas.thompson.munna@gmail.com,Thomas,Thompson
susan.garcia.munna@gmail.com,Susan,Garcia
christopher.martinez.munna@gmail.com,Christopher,Martinez
nancy.robinson.munna@gmail.com,Nancy,Robinson
